"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.10","51.78","OLDS","3024920","2011-01-01","2011","01","01","†","-0.7","","-18.4","","-9.6","","27.6","","0.0","","0.0","","2.0","","2.0","","24","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-02","2011","01","02","†","-2.3","","-10.3","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-03","2011","01","03","†","-4.4","","-13.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-04","2011","01","04","†","1.9","","-11.2","","-4.7","","22.7","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-05","2011","01","05","†","3.4","","-7.7","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-06","2011","01","06","†","1.0","","-1.4","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-07","2011","01","07","†","-4.0","","-8.6","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-08","2011","01","08","†","-10.0","","-10.5","","-10.3","","28.3","","0.0","","0.0","","15.0","","15.0","","25","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-09","2011","01","09","†","-15.5","","-16.6","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-10","2011","01","10","†","-16.5","","-19.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-11","2011","01","11","†","-20.0","","-25.3","","-22.7","","40.7","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-12","2011","01","12","†","-19.5","","-26.3","","-22.9","","40.9","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-13","2011","01","13","†","-20.5","","-23.2","","-21.9","","39.9","","0.0","","0.0","","4.0","","4.0","","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-14","2011","01","14","†","-23.0","","-24.0","","-23.5","","41.5","","0.0","","0.0","","2.8","","2.8","","44","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-15","2011","01","15","†","-19.5","","-25.7","","-22.6","","40.6","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-16","2011","01","16","†","-20.0","","-25.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-17","2011","01","17","†","-9.6","","-27.0","","-18.3","","36.3","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-18","2011","01","18","†","-3.6","","-26.5","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-19","2011","01","19","†","-5.1","","-13.2","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-20","2011","01","20","†","3.5","","-15.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-21","2011","01","21","†","3.5","","-11.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-22","2011","01","22","†","4.7","","-5.0","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-23","2011","01","23","†","2.8","","-4.6","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-24","2011","01","24","†","6.0","","-8.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-25","2011","01","25","†","8.7","","-2.5","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-26","2011","01","26","†","11.5","","-1.1","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-27","2011","01","27","†","12.2","","2.5","","7.4","","10.6","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-28","2011","01","28","†","-3.2","","-3.2","","-3.2","","21.2","","0.0","","0.0","","15.0","","15.0","","35","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-29","2011","01","29","†","-14.0","","-15.6","","-14.8","","32.8","","0.0","","0.0","","2.7","","2.7","","50","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-30","2011","01","30","†","-20.0","","-21.7","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-01-31","2011","01","31","†","-20.0","","-29.2","","-24.6","","42.6","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-01","2011","02","01","†","-7.0","","-28.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-02","2011","02","02","†","6.2","","-10.0","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-03","2011","02","03","†","7.0","","-4.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-04","2011","02","04","†","11.0","","-1.3","","4.9","","13.1","","0.0","","0.0","T","0.0","","0.0","T","52","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-05","2011","02","05","†","0.5","","-1.0","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-06","2011","02","06","†","-11.0","","-13.5","","-12.3","","30.3","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-07","2011","02","07","†","-15.5","","-17.4","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-114.10","51.78","OLDS","3024920","2011-02-08","2011","02","08","†","-9.2","","-22.5","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
